BankName-CardVariant,AnnualFee1stYear,AnnualFee2ndYear,MinimumSpendsForAnnualFeeReversal,AnnualFeeReversal,OverdueMonthlyInterest,OverdueAnnualInterest,CashWithdrawalFee,CashWithdrawalMinFee,CardReplacementFee,ForeignCurrencyTransactionsFee,ZeroCharge,JoiningOrAnnualFee,AnnualInterestRate,AnnualMinSpendLimit,DomesticAirportLoungeBenefits,InternationalAirportLoungeBenefits,RailwayLounge,MinumumAmountSpendtoavailBenefit,FuelSurchargeWaiverinPercentage,FuelDiscount/CashbackinPercentage,Maximum FuelDiscount/CashbackinRupees,FuelRewardPoints,MinimumSpendinRupees,MaximumDiscount/WaiverinRupees,E-Commerce Cashback in percentage,Merchant Cashback in percentage,Mobile Recharge/wallet Cashback in percentage,Domestic Air Ticket Cashback in percentage,Movie Ticket Cashback in percentage,Fuel Cashback in percentage,Utility Cashback in percentage,Domestic Travel in Percentage,Domestic Hotel spend Cashback in percentage,Other Cashback in percentage,Cashback in points,Payback points for online spend,Payback points for Utility spend,Payback points for dining/Hotel,Payback points on Fuel Spend,Payback points on Domestic Travel spend,Payback points for Annual spend limit,domestic Air Ticket cashback in rupees,International Air Ticket cashback in rupees,Domestic Hotel booking Cashback in Rupees,International Hotel booking Cashback in Rupees,Bus Ticket Booking Cashback in Rupees,Car Rentals Cashback in Rupees,Train Booking Cashback in Rupees,Movie Ticket Cashback in Rupees,Other cashback in Rupees,Minimum Spend,Domestic Travel Minimum Spend,Mimimum Annual spend,Maximum Cashback,Maximum Reward points,Reward point VS Cash (x:1)
ICICI - ICICI Bank HPCL Coral American Express Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8,0,0,0,1,2.5,100,0,500,0,0,0,0,0,0,0,0,0,0,0,6,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
HDFC - InterMiles HDFC Bank Signature Credit card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - ISIC Student ForexPlus Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - JetPrivilege HDFC Bank Select / Titanium,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - MakeMyTrip Hdfc Bank ForexPlus Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
ICICI - Manchester United Signature Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,0,0,0,0
HDFC - Millennia Prepaid Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,5,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
HDFC - MoneyPlus Benefit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - MoneyPlus Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - MoneyPlus Dependant GPR Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - MoneyPlus Petro Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - MoneyPlus PettyCash Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - MoneyPlus Retail GPR Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Multicurrency Platinum ForexPlus Chip Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Paytm HDFC Bank Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Paytm HDFC Bank Mobile Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Platinum Plus Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,100,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
HDFC - Purchase Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Purchase Reward Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
HDFC - Regalia ForexPlus Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Reward Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
HDFC - Titanium Edge Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
HDFC - Visa Signature Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,100,0,250,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
HDFC - World MasterCard Credit Card,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,0,0,0,0,0
